user_id|session_id|vid_count|unique_vid_count|total_vid_view
86|235022|1|1|1
86|235954|1|1|1
86|236644|2|2|1
86|236717|2|2|1
86|236887|5|3|1
86|240195|2|2|86401
86|240536|1|1|1
86|240964|9|7|1
86|240965|10|7|1
86|241470|1|1|1
86|241471|2|2|1
86|241571|2|2|2183
86|241572|1|1|2426
86|244640|2|1|1
86|247711|2|2|1
86|256739|27|21|13417
86|258016|9|7|1
86|258613|1|1|86401
86|259230|1|1|825
86|259231|2|2|1318
86|259233|8|8|1
86|259939|6|6|1
86|264964|2|2|1
86|270232|7|5|2437
86|270240|21|19|9415
86|270265|14|13|5371
86|270290|34|31|1
86|270355|15|13|1
86|306952|6|6|1
86|307048|11|11|1
86|307204|1|1|16293
86|307239|19|17|1
86|307323|13|12|1
86|307408|7|7|1
86|307527|7|7|1
86|307580|5|3|1
86|307759|7|7|1
86|307833|7|7|1
86|308001|38|33|1
86|310252|2|1|1
86|310349|4|4|1
86|310515|2|2|1
86|310659|3|3|1
86|312334|4|4|1
86|313811|2|2|14116
86|313846|1|1|1
86|316685|2|2|1
86|319052|1|1|1
86|319130|4|4|1
86|319197|10|10|1
86|319257|1|1|1
86|319269|2|1|1
86|320145|5|5|1
86|320286|12|12|1
86|320817|3|3|1
86|321043|10|10|4322
86|321057|11|10|1
86|321198|13|13|1
86|321338|10|9|1
86|322022|6|6|1
86|322174|12|12|1
86|323167|4|4|1
86|325179|1|1|1
86|325812|8|7|1
86|326291|1|1|1
86|326695|5|5|1
86|327267|2|2|1
86|327541|1|1|1
86|327963|1|1|1
86|328360|7|6|1
86|328539|12|12|6844
86|328571|2|2|1
86|328650|1|1|82
86|328651|34|34|1
86|328945|1|1|1
86|328965|1|1|6578
86|329030|2|2|20066
86|329126|38|36|1
86|329204|1|1|1
86|329745|4|3|1
86|329749|34|33|8560
86|329839|19|18|1
86|329936|28|21|1
86|330051|17|15|1
86|330170|10|9|12623
86|330187|2|2|1
86|330295|23|21|1
86|330316|43|41|1
86|330426|43|40|1
86|330502|25|25|1
86|330578|19|16|1
86|330744|29|29|1
86|340829|23|22|1
86|340908|1|1|8570
86|340942|6|4|1
86|341024|1|1|1
86|341123|2|2|1
86|341331|3|3|1
86|341478|6|6|1
86|341506|2|1|1
86|341655|3|3|1
86|341891|3|3|1
86|343606|3|3|1
86|344284|31|28|1
86|344365|16|14|1
86|344460|13|13|1
86|344852|6|6|1
86|344992|21|14|1
86|345046|58|38|1
86|345087|17|13|1
86|345258|35|26|1
86|345357|22|16|1
86|345492|1|1|1
86|345510|1|1|1
86|345581|11|8|2837
86|345586|10|10|3616
86|345598|16|12|1
86|345718|5|5|1
86|345999|2|2|1
86|346231|7|7|1
86|346480|1|1|1
86|347456|1|1|1
86|348075|1|1|1
86|348367|5|5|1
86|348493|1|1|1
86|348574|7|6|1
86|348775|1|1|1
86|349064|1|1|1
86|350378|4|4|1
86|351086|1|1|1
86|352513|3|2|1
86|353097|3|2|1
86|353147|7|6|1
86|353546|15|13|4955
86|353557|3|2|1
86|353630|7|6|1
86|357402|9|9|1
86|357499|1|1|1
86|362654|2|1|1
86|362995|1|1|1
86|363165|35|22|84218
86|363932|2|1|1
86|371719|3|3|1
86|372200|15|14|1
86|372377|5|5|1
86|372463|1|1|1
86|383972|3|3|1
86|384653|1|1|1
86|385355|5|5|1
86|385638|2|2|1
86|386099|4|4|1
86|386515|4|3|79229
86|386937|2|2|1
86|387116|8|8|4299
86|388498|5|4|1
86|395776|1|1|1
86|429688|4|3|1
86|430234|1|1|1
86|434055|3|3|17880
86|435044|1|1|12727
86|438285|1|1|1
86|555511|8|4|1
89|228688|3|2|461
89|229179|2|2|212
89|229216|1|1|1
89|229471|2|2|1
89|230231|2|2|1
89|231004|2|2|580
89|231478|8|7|1491
89|231808|30|25|18947
89|233161|1|1|806
89|233168|4|4|1
89|233235|2|2|10020
89|234879|1|1|6012
89|234913|1|1|120
89|235006|2|1|688
89|235578|3|3|797
89|237817|1|1|1188
89|237821|2|2|1
89|238071|42|37|1547
89|239644|1|1|2532
89|239762|2|1|1
89|240447|2|2|1
89|240450|2|2|861
89|242388|2|1|461
89|242546|1|1|1
89|242551|5|5|1
89|242770|1|1|1
89|242784|1|1|1
89|243577|1|1|1
89|244367|1|1|1
89|244372|1|1|484
89|244403|1|1|2116
89|244556|1|1|1
89|244746|1|1|1
89|244913|2|2|1
89|245506|2|2|2039
89|245584|1|1|1
89|245902|1|1|1
89|246702|1|1|1
89|248203|1|1|1
89|248415|1|1|546
89|248439|2|2|75192
89|248453|4|4|192
89|248524|4|3|2873
89|249005|1|1|1
89|249581|2|2|1
89|249616|2|2|1
89|249742|4|3|1
89|250121|1|1|1
89|255531|5|4|24302
89|255600|1|1|124
89|255601|2|2|5824
89|255619|16|15|7069
89|255849|7|4|1163
89|255939|18|17|2503
89|256127|19|18|3144
89|256212|3|3|1765
89|256315|3|2|293
89|256905|12|11|13570
89|257550|1|1|2491
89|258140|1|1|265
89|258305|1|1|1
89|258568|3|3|1500
89|258573|2|2|1
89|259395|1|1|10686
89|259416|1|1|1
89|261116|1|1|1
89|261414|1|1|1
89|261444|1|1|172
89|261457|1|1|1
89|262623|1|1|1
89|266960|2|2|886
