user_id|session_id|link_count|unique_link_count|session_duration_in_s|vid_count|unique_vid_count|total_vid_view
60|584934|16|11|1005|584934|3|985
60|590930|14|8|15354|590930|6|15335
60|595954|103|60|29228|595954|3|1
66|235633|33|32|12434|235633|32|1
66|235742|62|55|18715|235742|49|1
66|236181|4|3|32|236181|2|1
66|236280|3|3|9417|236280|1|1
66|236652|3|3|39|236652|2|1
66|237299|7|6|13602|237299|2|1
66|237652|3|3|440|237652|1|1
66|238180|7|5|233|238180|4|1
66|238731|9|6|22138|238731|9|1
66|238891|10|8|494|238891|33|1
66|241762|4|3|235|241762|1|1
66|242611|9|4|1856|242611|3|1
66|242961|4|3|5319|242961|3|1
66|243272|2|2|39|243272|2|1
66|257746|16|8|9765|257746|2|1
66|258293|78|35|1436|258293|2|1416
66|258314|8|5|12063|258314|1|1
66|258328|2|2|23|258328|1|1
66|259907|3|3|3392|259907|4|1
66|260037|8|7|53|260037|1|1
66|260332|64|34|86421|260332|1|1
66|270289|11|7|228|270289|1|1
68|235753|31|20|11687|235753|2|11667
68|249743|3|2|30|249743|1|1
68|266885|14|11|4609|266885|2|4589
68|268853|8|4|88|268853|1|240
68|268855|10|6|276|268855|2|1
68|274032|51|30|2369|274032|3|1
71|238038|22|8|919|238038|1|1
71|270525|2|2|30|270525|7|1
71|286219|3|3|105|286219|1|1
71|377496|13|6|656|377496|1|1
71|422743|5|4|1130|422743|14|1
75|228773|7|6|489|228773|3|1
75|229548|23|11|5674|229548|6|1
75|229652|31|12|5444|229652|8|1
75|229990|26|12|17389|229990|7|1
75|230027|6|5|75|230027|1|1
75|230157|48|34|16701|230157|21|1
75|231978|29|15|8214|231978|8|1
75|232113|23|14|14365|232113|12|1
75|232365|52|29|8148|232365|12|8128
75|233555|11|10|5623|233555|3|1
75|235957|14|9|9051|235957|14|1
75|236148|11|8|15193|236148|7|1
75|237487|9|7|3251|237487|9|1
75|238663|40|20|15121|238663|4|1
75|238796|44|18|1212|238796|3|1
75|238939|29|14|11372|238939|6|1
75|240065|9|8|1238|240065|5|1
75|240800|13|8|6750|240800|46|1
75|241548|9|8|6769|241548|19|1
75|243658|32|14|5366|243658|13|1
75|243711|11|9|2592|243711|16|1
75|243834|72|23|1328|243834|1|1308
75|244718|11|10|12496|244718|31|17414
75|244765|4|4|44|244765|1|1
75|244965|12|8|1537|244965|2|1
75|245767|15|13|777|245767|3|1
75|249637|9|7|237|249637|2|1
75|255714|6|6|269|255714|1|249
75|255715|4|3|28|255715|1|1
75|255739|20|9|10956|255739|24|1
75|255787|13|5|436|255787|2|1
75|255808|4|4|474|255808|6|1
75|255900|4|4|173|255900|1|1
75|272259|18|12|4316|272259|7|4297
75|272264|10|6|692|272264|4|1
75|272859|8|8|101|272859|1|1
75|273998|20|16|25637|273998|25|1
75|274260|4|4|37|274260|1|1155
75|274558|14|10|23009|274558|22|1
75|275229|8|8|4891|275229|5|1
75|279339|5|5|78|279339|2|1
75|280485|10|6|1761|280485|6|1
75|280574|5|5|11501|280574|1|1
75|281052|16|9|20027|281052|9|20001
75|281149|8|7|1720|281149|4|1700
75|281155|8|7|2759|281155|5|2739
75|281160|5|5|36|281160|1|1
75|281951|6|6|430|281951|2|1
75|282803|6|5|139|282803|1|119
75|282806|8|6|4453|282806|8|4433
75|283922|23|12|3523|283922|9|3503
75|283946|5|5|117|283946|1|1
75|284225|6|4|4757|284225|5|1
75|284353|8|6|37337|284353|7|1
75|285624|6|5|185|285624|2|1
75|285786|7|7|1018|285786|6|1
75|285884|3|3|33|285884|2|1
75|286408|8|6|5551|286408|5|1
75|286711|13|12|5323|286711|25|5304
75|286722|9|8|7491|286722|14|1
75|312228|3|3|41|312228|4|1
75|312274|14|6|12307|312274|10|1
75|315613|3|3|62|315613|4|1
75|420802|27|21|416|420802|1|396
75|448231|20|17|5869|448231|40|1
75|448736|19|13|28858|448736|1|28841
75|449140|4|4|797|449140|12|1
75|449189|8|5|56|449189|1|1
75|449425|9|6|5278|449425|4|1
75|449925|5|5|42|449925|2|1
75|450078|14|9|432|450078|2|1
75|450154|21|15|4499|450154|10|1
75|450445|16|12|15230|450445|17|1
75|450550|14|9|7568|450550|9|1
75|450594|12|9|306|450594|2|284
75|475547|26|16|38241|475547|20|1
75|480775|2|2|28|480775|3|1
75|480783|15|10|570|480783|2|1
75|495906|14|12|6523|495906|23|1
75|562301|15|10|473|562301|2|1
75|581418|16|12|995|581418|6|975
75|583351|25|16|4535|583351|3|1
75|583439|6|5|93|583439|3|1
75|583512|5|4|51|583512|6|1
75|585781|17|10|6000|585781|19|1
75|588253|7|6|70|588253|2|1
75|593970|15|8|19062|593970|4|1
75|594067|29|16|86421|594067|16|1
75|595126|5|3|39|595126|1|1
75|596090|23|17|1518|596090|17|1
76|367655|61|16|5249|367655|10|5229
76|367786|9|5|18229|367786|1|1
76|367871|13|7|4422|367871|5|4402
78|263836|5|4|149|263836|1|1
86|231011|4|4|953|231011|1|1
86|231353|3|3|37|231353|1|1
86|231900|12|6|3542|231900|1|1
86|232340|33|23|1457|232340|7|1
86|232420|18|10|2047|232420|2|1
86|232550|13|9|2894|232550|1|1
86|232775|7|6|285|232775|2|265
86|232900|4|4|186|232900|1|166
86|232968|9|8|342|232968|2|322
86|233001|11|10|5534|233001|1|5514
86|233196|13|10|3178|233196|1|3159
86|233368|7|7|2027|233368|1|1
86|233411|12|7|2684|233411|2|1
86|233543|10|5|13388|233543|3|1
86|233585|15|10|4204|233585|1|1
